Boston Celtics,Paul Pierce,Rajon Rondo,Kevin Garnett,Ray Allen,Kendrick Perkins,Glen Davis,Rasheed Wallace,Tony Allen,Nate Robinson,Michael Finley
Paul Pierce,rebound1,"inbound1,rebound3,11","inbound1,6","rebound1,2",=,1,=,=,=,=
Rajon Rondo,"inbound3,13",rebound2,"inbound2,13","rebound2,11","inbound4,3",=,1,=,=,=
Kevin Garnett,"rebound1,9","inbound8,rebound3,4",rebound1,5,3,=,=,=,=,=
Ray Allen,"rebound1,2","rebound2,1",6,,"inbound1,3",1,=,=,=,=
Kendrick Perkins,"rebound2,1","inbound10,rebound2,5","inbound1,3","rebound1,1",rebound1,=,=,=,=,=
Glen Davis,=,"inbodun2,1",=,=,=,,=,=,=,=
Rasheed Wallace,=,1,=,=,=,=,,=,=,=
Tony Allen,=,=,=,=,=,=,=,,=,=
Nate Robinson,=,=,=,=,=,=,=,=,,=
Michael Finley,=,=,=,=,=,=,=,=,=,
,,,,,,,,,,
Los Angeles Lakers,Pau Gasol,Kobe Bryant,Metta World Peace,Andrew Bynum,Derek Fisher,Lamar Odom,Shannon Brown,Jordan Farmar,Sasha Vujacic,Luke Walton
Pau Gasol,1,"inbound5,rebound2,9",4,1,"inbound5,rebound3,4","inbound6,4",=,inbound1,"inbound1,1",=
Kobe Bryant,"rebound3,11",,10,=,"rebound2,8","inbound2,4",1,,"inbound2,1",=
Metta World Peace,10,"inbound3,rebound2,9",rebound3,2,"inbound2,rebound1,10","inbound3,10",=,=,4,=
Andrew Bynum,=,"inbound4,rebound2,1",rebound1,,inbound1,=,=,=,inbound1,=
Derek Fisher,4,12,14,1,,"rebound1,5",=,=,=,=
Lamar Odom,"rebound1,5","inbound2,rebound2,9","inbound2,rebound1,10",=,"inbound4,5",,=,inbound1,rebound1,=
Shannon Brown,=,=,=,=,=,=,,=,=,=
Jordan Farmar,1,rebound1,3,=,=,1,=,,=,=
Sasha Vujacic,2,1,3,=,=,"rebound1,3",=,=,,=
Luke Walton,=,=,=,=,=,=,,=,=,
,,,,,,,,,,
Celtics,,,,,,,,,,
Final data format,PG,SG,SF,PF,C,Inbound,Rebound,Steal,,
PG,0,11,13,14,3,21,10,3,,
SG,1,0,2,7,3,0,4,2,,
SF,11,2,0,7,0,3,4,0,,
PF,6,5,9,0,3,4,0,1,,
C,5,1,1,3,0,5,0,1,,
Success,4,12,4,11,1,,,,,
Fail,4,16,6,12,1,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Lakers,,,,,,,,,,
Final data format,PG,SG,SF,PF,C,Inbound,Rebound,Steal,,
PG,0,12,17,11,1,16,7,4,,
SG,8,3,13,19,0,19,10,2,,
SF,10,13,0,20,2,2,2,1,,
PF,4,20,14,9,1,11,6,5,,
C,0,1,0,0,0,0,0,0,,
Success,9,5,7,13,3,,,,,
Fail,14,10,5,19,2,,,,,
,,,,,,,,,,
Lakers,,,,Celtics,,,,,,
No.,Player,Pos,,No.,Player,Pos,,,,
12,Shannon Brown,SG,,20,Ray Allen,SG,,,,
24,Kobe Bryant,SG,,42,Tony Allen,SG,,,,
17,Andrew Bynum,C,,11,Glen Davis,PF,,,,
1,Jordan Farmar,PG,,40,Michael Finley,SF,,,,
2,Derek Fisher,PG,,5,Kevin Garnett,PF,,,,
16,Pau Gasol,PF,,43,Kendrick Perkins,C,,,,
7,Lamar Odom,PF,,34,Paul Pierce,SF,,,,
18,Sasha Vujacic,SG,,4,Nate Robinson,PG,,,,
4,Luke Walton,SF,,9,Rajon Rondo,PG,,,,
37,Metta World Peace,SF,,13,Shelden Williams,PF,,,,
